Review	Helpful Reviews	Not Helpful Reviews	Alpha	IsHelpful(alpha>=0.5)	IsHelpful(alpha>=0.6)	IsHelpful(alpha>=0.7)	IsHelpful(alpha>=0.8)	IsHelpful(alpha>=0.9)
Outstanding.... Bought this phone for my father and he is much happy with the product as it doesn't heats up under moderate use. Only con so far is the battery life about 32 hrs under moderate use conditions.	3456	756	0.820512821	1	1	1	1	0
Brilliant Mobile.........I loving it 	1682	363	0.822493888	1	1	1	1	0
"Awsm phone ,really fast .... gr8t performance, nice camera ... Inshort a all rounder phone in this price segment "	1141	261	0.813837375	1	1	1	1	0
"I dont usually comment on Product , but for this I forced myself to Comment MI Note 5 is my First MI Phone I Used, Really what a Phone Amazingly Display Great Camera Great Performance & Premium Look. Overall Best Smartphone u will get in this Range Earlier I was using Samsung Phone , I Release that samsung had looted us from so many years ,"	5008	1259	0.799106431	1	1	1	0	0
wow..It is really osm and bst phne in India... I really love it I brought it and cmpltd 2weeks no problems arrised battery super	2125	519	0.803706505	1	1	1	1	0
nice phone worth in this price ...	672	155	0.812575574	1	1	1	1	0
nice	13	4	0.764705882	1	1	1	0	0
"I purchased the 64 gb varient and I'm reviewing it after a few days usage. The battery back up of good and lasts for 1.5-2 days on normal usage. I played a couple of games and found no lags. The front camera is nice and clicks good selfies. The main camera is good however the low light performance is not good. The pictures slightly distort when clicked in low light conditions. When you zoom in the image clicked on low lights, you can see the pixels breaking up. The phone performance and ram management is good and the multitasking works perfectly fine. I feel the size is slightly bigger to fit in your pocket. Especially if you wear jeans or tight clothes and keep your phone in pocket, I would not recommend this phone. The display looks good and the in hand feel of the phone is nice. Overall it's a good deal in this price segment. Please give me thumbs up if you find this review helpful. Thank you!"	721	169	0.81011236	1	1	1	1	0
wonderful mobile amazing product I love it Beautiful display 48 hours battery life even while using mobile data	2453	623	0.797464239	1	1	1	0	0
excellent product Thank you Flipkart	1144	288	0.798882682	1	1	1	0	0
nice mobile its good working	788	193	0.803261978	1	1	1	1	0
nice mobile at reasonable price	733	180	0.802847755	1	1	1	1	0
i get my phone in 7 days from Flipkart but the packing is very bad Need to improve the packing of products Mobile is very good and amazing i like it amazing mobile	221	48	0.821561338	1	1	1	1	0
good price	215	47	0.820610687	1	1	1	1	0
Excellent phone & very fast delivery	1325	362	0.785417902	1	1	1	0	0
awesome product..in love with it..I am using honor 7x but this phone was up to the level ..front cam is 5 MP but it's awesome .. colour depth is quite well..main thing is the speakers..iys loud and clear..much much louder than my 7x and other phones in this budget range..and then the last of all ..the huge 4000 mah battery..great battery life..overall product gets a 8 out of 10	40	4	0.909090909	1	1	1	1	1
well done. 	106	21	0.834645669	1	1	1	1	0
awesome product. Recieved my parcel very early as that of the exp credit delivery. happy with the phone	103	20	0.837398374	1	1	1	1	0
Gud camera quality best design full hd+ display no heating problem	497	132	0.790143084	1	1	1	0	0
